migration_rate,biotic_coeff,abiotic_coeff,fixed_interaction_mat,selection_coeff,correlated_div,modular_div,div_diff
0.1,1.0,1.0,2,0.12,2.3033397416802726,2.4739225226244175,-0.17058278094414492
0.1,5.0,2.0,7,0.01,2.40174814800883,1.9313279490395043,0.47042019896932574
0.1,5.0,2.0,9,0.12,2.2027296489922317,2.404912912241513,-0.20218326324928126
0.1,0.1,5.0,2,0.01,2.613544879701397,2.5516238837482863,0.06192099595311085
0.1,1.0,1.0,4,0.5,1.1767676599656356,1.2268504025491458,-0.0500827425835102
0.1,2.0,5.0,2,0.5,2.550403768307649,1.9408743354421047,0.6095294328655441
0.1,0.1,1.0,8,0.01,2.537155494317843,2.677031877826548,-0.1398763835087049
0.1,1.0,0.0,2,0.12,2.134907237267687,2.2384288436325006,-0.10352160636481367
0.1,5.0,1.0,7,0.01,2.478192607221237,2.4543091138074047,0.023883493413832113
0.1,5.0,1.0,9,0.12,2.1418318158969747,2.506254129212069,-0.3644223133150941
