migration_rate,biotic_coeff,fixed_interaction_mat,abiotic_coeff,selection_coeff,diversity_index
0.1,0.1,9,0.5,0.5,0.1569827510158334
0.1,1.0,6,2.0,0.01,2.20912264621768
0.1,1.0,2,0.1,0.01,2.446411793140761
0.1,5.0,3,0.1,0.01,2.3878926286815383
0.1,0.0,5,5.0,0.5,2.5920952500951384
0.1,0.1,4,5.0,0.12,2.6271048314574355
0.1,0.5,6,2.0,0.5,2.276151303263245
1.0,0.0,3,0.5,0.5,2.5571519068480817
1.0,2.0,3,1.0,0.5,0.7680522019668983
1.0,0.0,6,0.0,0.01,2.591228520588481
1.0,0.5,8,0.5,0.01,2.486659100646842
1.0,1.0,1,5.0,0.01,2.5005504127689706
1.0,1.0,10,5.0,0.12,2.5264257357736053
1.0,5.0,8,0.5,0.12,2.168164317442184
1.0,0.0,9,0.5,0.5,2.5719500674809965
1.0,5.0,3,1.0,0.01,2.3430875013646726
1.0,1.0,5,1.0,0.12,2.4305948884029136
1.0,5.0,9,2.0,0.01,2.4271060595998675
1.0,0.1,1,0.5,0.01,2.4813720808888946
1.0,1.0,10,0.5,0.5,0.0668787192696136
1.0,0.5,1,5.0,0.5,2.336918885671064
1.0,0.5,2,1.0,0.5,1.1749392993760421
1.0,0.0,4,5.0,0.12,2.590164126254649
1.0,0.1,5,5.0,0.01,2.649696083841694
1.0,0.5,10,0.1,0.5,0.06513584499779142
1.0,0.1,7,2.0,0.5,1.9649284365970014
1.0,1.0,6,0.1,0.5,0.06542514007838032
1.0,0.5,10,0.5,0.01,2.4048790309062853
1.0,5.0,1,0.5,0.01,2.516526389556281
1.0,0.0,3,0.5,0.12,2.5913334629026723
1.0,0.5,6,5.0,0.12,2.468604724647256
1.0,0.1,1,0.1,0.12,2.3072782478075373
1.0,0.5,6,0.5,0.5,0.2470881053864223
1.0,0.0,7,0.5,0.01,2.592140753484421
1.0,0.1,8,1.0,0.5,0.7257707925134944
1.0,2.0,1,0.5,0.12,2.511834479418629
1.0,5.0,8,2.0,0.5,2.319786142192889
1.0,2.0,4,1.0,0.12,2.0947755837247155
1.0,0.1,5,0.5,0.01,2.5389034145860596
1.0,0.5,4,1.0,0.5,1.365815746033498
1.0,2.0,7,0.0,0.01,2.393392279192247
1.0,2.0,5,0.1,0.01,2.3448295317222354
1.0,0.0,8,0.5,0.01,2.5928375410286177
1.0,5.0,7,0.0,0.5,0.06627681857962638
1.0,0.5,2,0.0,0.12,2.2901019470478627
1.0,0.0,1,5.0,0.5,2.586062159590275
1.0,5.0,7,2.0,0.12,2.357378520293048
1.0,1.0,2,5.0,0.5,2.44713430345223
1.0,5.0,5,0.5,0.01,2.068451099490903
1.0,5.0,10,2.0,0.5,2.0306025056993335
1.0,1.0,5,0.1,0.5,0.06693911732073754
1.0,5.0,8,0.0,0.5,0.07575123853276382
1.0,0.5,9,1.0,0.12,2.5425641922097784
1.0,0.1,8,1.0,0.12,2.46290117457768
1.0,2.0,9,5.0,0.01,2.201928377964647
1.0,0.0,10,0.5,0.01,2.593954755511099
1.0,5.0,9,5.0,0.5,2.1953951675239254
1.0,0.0,6,0.5,0.5,2.5849713906771696
1.0,0.5,7,0.0,0.01,2.391663515917435
1.0,0.5,5,0.1,0.01,2.4948396273726376
1.0,0.5,9,0.0,0.12,2.5186021142095965
1.0,5.0,2,0.5,0.5,0.24902888220782582
1.0,5.0,7,0.0,0.12,2.2818135705383447
1.0,0.0,4,2.0,0.5,2.5776840880185428
1.0,0.0,9,1.0,0.5,2.571328332053069
1.0,1.0,9,5.0,0.5,2.471413773118659
1.0,5.0,10,0.0,0.5,0.0680833094447935
1.0,0.0,1,0.1,0.01,2.589261406567945
1.0,2.0,6,0.0,0.5,0.06762532234192652
1.0,5.0,6,1.0,0.01,2.4978950371943442
1.0,5.0,1,2.0,0.01,2.227216364054366
1.0,5.0,8,0.0,0.12,2.250254123675351
1.0,2.0,6,2.0,0.12,2.2459356552427927
1.0,0.5,2,0.1,0.5,0.06602717877443771
1.0,0.0,2,0.0,0.12,2.5853265258183002
1.0,5.0,1,1.0,0.01,2.3724454289059573
1.0,5.0,9,0.1,0.01,2.404620202237122
